site,CI,Ciyear,catcount,temp,precip
NEC,2.74451285924777E-301,2010,1,12.271,41.63
DRW,3.48608581559907E-226,2010,0.066666666666667,12.271,41.63
TOH,1.76738127639401E-31,2010,0.333333333333333,12.271,41.63
ART,2.3099266625406E-41,2010,0,12.271,41.63
JND,8.03593790560432E-45,2010,0,12.271,41.63
MSP,3.69030419810162E-13,2010,0.333333333333333,12.271,41.63
RAB,2.69324109704567E-131,2010,0,12.271,41.63
SCU,4.94107679399969e-313,2010,1.6,12.271,41.63
AFL,3.79252780488512E-31,2010,1.71428571428571,12.271,41.63
HEM,8.17689826819647E-20,2010,1.4,12.271,41.63
DRM,1.02254511374712E-39,2010,4.14285714285714,12.271,41.63
BAY,3.49440619116763E-16,2010,1.5,12.271,41.63
NEC,2.61466769310414E-216,2011,1.06666666666667,12.517,42.15
DRW,1.51669510333986E-188,2011,7.33333333333333,12.517,42.15
TOH,1.76738127639401E-31,2011,0.733333333333333,12.517,42.15
ART,2.30992666253744E-41,2011,0.4,12.517,42.15
JND,4.01796895280216E-45,2011,0.066666666666667,12.517,42.15
MSP,3.69030419810162E-13,2011,2.93333333333333,12.517,42.15
RAB,9.51254283382159E-156,2011,0.533333333333333,12.517,42.15
SCU,5.3956761443871E-217,2011,1.6,12.517,42.15
AFL,3.79252780488512E-31,2011,4.26666666666667,12.517,42.15
HEM,8.17689826819647E-20,2011,4.2,12.517,42.15
DRM,1.46077873392446E-40,2011,4.6,12.517,42.15
BAY,4.99200884452518E-17,2011,2.93333333333333,12.517,42.15
NEC,3.13696342638416E-247,2012,0.133333333333333,11.868,22.58
DRW,2.18220891591104E-148,2012,0,11.868,22.58
TOH,5.30214382918204E-31,2012,0,11.868,22.58
ART,2.84538602577885E-52,2012,6.06666666666667,11.868,22.58
JND,3.61617205752194E-44,2012,0,11.868,22.58
MSP,5.64888859442138E-97,2012,0.666666666666667,11.868,22.58
RAB,0,2012,0,11.868,22.58
SCU,7.70249851536116E-263,2012,0,11.868,22.58
AFL,1.13775834146554E-30,2012,0.2,11.868,22.58
HEM,2.45306948045894E-19,2012,0.066666666666667,11.868,22.58
DRM,0,2012,0.066666666666667,11.868,22.58
BAY,0,2012,0.133333333333333,11.868,22.58
NEC,2.90518632567127E-217,2017,0.333333333333333,13.409,43.7
DRW,1.68521678148874E-189,2017,0,13.409,43.7
TOH,8.00602870027518E-189,2017,0,13.409,43.7
ART,4.61985332508437E-41,2017,1.2,13.409,43.7
JND,2.00898447640108E-44,2017,0,13.409,43.7
MSP,7.38060839620324E-13,2017,4.4,13.409,43.7
RAB,0,2017,0.666666666666667,13.409,43.7
SCU,5.99519571598566E-218,2017,0.133333333333333,13.409,43.7
AFL,5.91131139254347E-186,2017,2.93333333333333,13.409,43.7
HEM,4.23571388837122E-142,2017,0.666666666666667,13.409,43.7
DRM,0,2017,0.6,13.409,43.7
BAY,0,2017,0,13.409,43.7
NEC,2.74451285924777E-301,2018,11.4,12.814,28.39
DRW,6.97217163119813E-226,2018,2.4,12.814,28.39
TOH,3.53476255278802E-31,2018,4.86666666666667,12.814,28.39
ART,7.16077265385722E-40,2018,10.4666666666667,12.814,28.39
JND,1.20539068584065E-44,2018,0.4,12.814,28.39
MSP,1.1439943014115E-11,2018,49.1333333333333,12.814,28.39
RAB,2.69324109704567E-131,2018,0.625,12.814,28.39
SCU,4.94107679399969e-313,2018,10.1333333333333,12.814,28.39
AFL,7.58505560977024E-31,2018,18.5714285714286,12.814,28.39
HEM,1.63537965363929E-19,2018,32.8666666666667,12.814,28.39
DRM,2.92155746784891E-40,2018,3.13333333333333,12.814,28.39
BAY,9.98401768905036E-17,2018,0.625,12.814,28.39
NEC,8.7155589770138E-217,2019,0.45,13.23,43.03
DRW,1.74576713272884E-147,2019,0.3,13.23,43.03
TOH,5.30214382918204E-31,2019,0.25,13.23,43.03
ART,4.61985332506856E-41,2019,0.45,13.23,43.03
JND,7.71838242005991E-103,2019,0,13.23,43.03
MSP,7.38060839620324E-13,2019,0.05,13.23,43.03
RAB,3.59098812939423E-131,2019,1.5,13.23,43.03
SCU,1.7985587147957E-217,2019,0.05,13.23,43.03
AFL,1.13775834146554E-30,2019,0.4,13.23,43.03
HEM,2.45306948045894E-19,2019,0.65,13.23,43.03
DRM,1.46077873392446E-40,2019,3.5,13.23,43.03
BAY,4.99200884452518E-17,2019,0.65,13.23,43.03
