"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",6,56,3.65608577922522e-321,2,20,21.3333333333334,2.66666666666666,5.33333333333334,1.33333333333333,1.33333333333333,5.33333333333334,6.66666666666666,228,9,6.66666666666666
"2",400,42,1.5100167718705e-197,2,1.33333333333333,146.666666666667,2.60132780632305e-135,4,13.3333333333333,1.30066390316153e-135,5.20265561264612e-135,6.50331951580764e-135,48,6,6.50331951580764e-135
"3",30,14,1.05618036247682e-25,3.52060120825608e-26,6.66666666666666,14.6666666666667,2.34706747217072e-26,4,2.34706747217072e-26,1.09529815367967e-25,1.40824048330243e-25,3.44236562585038e-25,97.3333333333334,5,7.82355824056907e-27
"4",62,42,2,1.51480886482646e-193,1.57797830472971e-50,8,121.333333333333,3.15595660946644e-51,8.83638504482101e-194,6.94287396378793e-194,5.33333333333334,24,209.333333333334,9,6.31191321891885e-51
"5",6,10,2,1.13385302677673e-159,5.45326718316822e-113,1.33333333333333,3.18939272281707e-61,2.66666666666666,6.61414265619762e-160,5.1968263727267e-160,1.40193086717234e-62,6.30868890227552e-62,8,2.36575833835332e-62,2.18130687326729e-113
"6",30,28,2,9.80492505791722e-233,6.66666666666666,58.6666666666666,13.3333333333333,1.33333333333333,5.71953961711837e-233,4.49392398487872e-233,4,88,982.666666666666,1,2.66666666666666
"7",2.34333088119386e-163,6.36046953466904e-163,2,4.35190020793145e-163,5.02142331684398e-163,10.6666666666667,4.46348739275019e-164,1.33904621782506e-163,0,5.23034821003169e-190,2.09213928401268e-189,13.3333333333333,12.5,30,2.09213928401268e-189
"8",102,30,0,2,32,32,2.31790039356855e-32,4,10.6666666666667,1.15895019678428e-32,4,2.66666666666666,202.666666666666,1,5.79475098392138e-32
"9",102,80,18,6,34.2857142857142,85.3333333333334,4,10.6666666666667,4,18.6666666666667,24,58.6666666666666,371.428571428572,8,1.33333333333333
"10",60,60,4,32,28,84,1.33333333333333,12,18.6666666666667,14.6666666666667,9.33333333333334,13.3333333333333,657.333333333334,13,4
"11",2,34,24,30,82.8571428571428,92,1.33333333333333,10.6666666666667,1.97626258336499e-322,1.33333333333333,5.33333333333334,12,62.6666666666666,70,5.33333333333334
"12",14,38,12,26,30,58.6666666666666,2.66666666666666,8,0,1.18288930439814e-44,4.73155721759257e-44,1.06460037395833e-43,12.5,13,4.73155721759257e-44
